RBD;NOMBRE;DEPENDENCIA;DIRECCIÓN;REGION;COMUNA;DIRECTOR/A;E- MAIL DIRECTOR/A;TELEFONO;E- MAIL ESTABLECIMIENTO ;Discapacidad Auditiva;Discapacidad Intelectual;Discapacidad Visual; Trastornos Específicos del Lenguaje; Transtornos Motores; Autismo; Discapacidad Graves Alteraciones en la Capacidad de Relación y Comunicación; Discapacidad Múltiple; Sordoceguera
2463;COLEGIO HERMANO FERNANDO DE LA FUENTE;Municipal Corporación;NEGRETE 770;6;SAN FERNANDO;ELSA JIMENA DEL CARMEN MANRÍQUEZ GONZÁLEZ;JIMENADIF@YAHOO.ES;-;HNO.FERNANDODELAFUENTE@GMAIL.COM;;ü;;;;;;;
2554;ESCUELA ESPECIAL DE SANTA CRUZ;Municipal Daem;CABELLO 150;6;SANTA CRUZ;CAROLINA ALEJANDRA ARAYA NAVARRO;ESCUELAESPECIALDIRECCION@GMAIL.COM;72-2821988;MARYROMANG@GMAIL.COM;;ü;;;;;;;
2730;CENTRO EDUCATIVO INTEGRAL DE CURICO (CEIC);Municipal Daem;DOCTOR OSORIO 744 S/N;7;CURICÓ;IRMA DEL PILAR CASTRO HERNÁNDEZ;PILARCASTROHE@GMAIL.COM;75-2311482;CEIC@DAEMCCO.CL;;ü;;;;;;;
2932;ESCUELA ESPECIAL ESPANA;Municipal Daem;7 ORIENTE 14 NORTE 2300 S/N;7;TALCA;CAROLINA FABIOLA BRAVO CARRIÓN;FENIJO3@GMAIL.COM;71-2234285;ESCESPANAF158@HOTMAIL.COM;;ü;;;;;;;
2933;ESCUELA CENTRO DE CAPACITACION LABORAL;Municipal Daem;CAMINO A SAN CLEMENTE KM 5 S/N;7;TALCA;PAULINA DEL PILAR LOYOLA MONTECINOS;PAULY7923@HOTMAIL.COM;71-2241385;IBERIAD135@GMAIL.COM;;ü;;;;;;;
2994;ESCUELA ESPECIAL EVANGEL.PRESBITERIANA;Particular Subvencionado;4 PONIENTE 390 S/N;7;TALCA;JOSÉ HORACIO MOLINA FONSECA;HORMOL2010@GMAIL.COM;71-2231442;ESCUELAEEPT@GMAIL.COM;;ü;;;;;;;
3017;ESCUELA SAN RAFAEL;Municipal Daem;AVENIDA SAN RAFAEL Nº 9 9;7;SAN RAFAEL;CRISTIAN ANDRÉS LETELIER LETELIER;CRISTIANLETE26@GMAIL.COM;71-2651001;ESCUELADESANRAFAEL@HOTMAIL.COM;;;;ü;;;;;
3170;MAESTRA M.FRESIA HORMAZABAL LETELIER;Municipal Daem;TOCORNAL 220;7;CONSTITUCIÓN;MIGUEL ANGEL FAJARDO RAMOS;TAHIUSCA@HOTMAIL.COM;71-2249820;ESPECIALCONSTITUCION@HOTMAIL.COM;;ü;;;;;;;
3244;ESCUELA ESPECIAL LAS VIOLETAS;Municipal Daem;BRASIL ESQ. LOS COPIHUES S/N S/N;7;LINARES;MARÍA VICTORIA MUÑOZ MORALES;MMARIMUNOZ@HOTMAIL.COM;73-2633307;MMARIMUNOZ@HOTMAIL.COM;;ü;;;;;;;
3390;ESCUELA LUIS ARMANDO GOMEZ MUNOZ;Municipal Daem;DOS SUR 800;7;PARRAL;LORENA DE LOURDES SÁNCHEZ ROJAS;ESC.LUISARMANDOGOMEZ@DAEMPARRAL.CL;9-42383201;ESC.LUISARMANDOGOMEZ@DAEMPARRAL.CL;;;;ü;;;;;
3484;ESCUELA DE EDUCACION DIFERENCIAL;Municipal Daem;ARTURO PRAT 3280;7;SAN JAVIER;MARÍA FERNANDA JARA BARROS;MFERNANDAJARA@GMAIL.COM;73-322033;EMASEPUL@HOTMAIL.COM;;ü;;;;;;;
3537;ESCUELA ESPECIAL HORIZONTE;Municipal Daem;POB. CAUQUENES PJE. 19 S/N S/N;7;CAUQUENES;LUISA PATRICIA MERINO AYALA;LUPAMERINO@GMAIL.COM;73-511707;LUPAMERINO@GMAIL.COM;;ü;;;;;;;
3649;ESCUELA ESPECIAL LAS ACACIAS;Municipal Daem;POB. EL TEJAR ;16;CHILLÁN;MYRIA PAMELA MOLLER FRERAUT;PAME.MOLLER@GMAIL.COM;42-210982;LASACACIAS207@GMAIL.COM;;ü;;;;;;;
3725;ESCUELA ESPECIAL DIFERENCIAL AVANZANDO JUNTOS;Particular Subvencionado;AV. COLON 431;16;CHILLÁN;MARÍA JOSÉ DEL DESPOSITO SAN MARTÍN;MDELDESPOSITOSANMARTIN@GMAIL.COM;42-2212852;CORPORACIONAVANZANDOJUNTOS@GMAIL.COM;;ü;;;;;;;
3727;ESCUELA BASICA DIFERENCIAL EL ROBLE;Particular Subvencionado;ISABEL RIQUELME 441 441;16;CHILLÁN;CLAUDIA LORETO ZAPATA SILVA;MUTILLITA@GMAIL.COM;42-2225717;MUTILLITA@GMAIL.COM;;ü;;;;;;;
3748;ESCUELA ESPECIAL RENACER;Municipal Daem;GRAL. VENEGAS 85;16;SAN CARLOS;JAIME JESÚS ARIAS PINCHEIRA;RESIDENCIAL-PINCHEIRA@HOTMAIL.COM;42-411618;ESCUELAESPECIALRENACER@GMAIL.COM;;ü;;;;;;;
4160;LICEO COMERCIAL CAMILO HENRIQUEZ;Particular Subvencionado;GALVARINO 1310;8;LOS ANGELES ;CLAUDIA ANDREA SOTO RETAMAL;DIRECTORA@LCCH.CL;43-345450;LICEOCAMILO@GMAIL.COM;;;;ü;;;;;
4187;ESCUELA BÁSICA ESPERANZA;Municipal Daem;ALMAGRO 148 S/N;8;LOS ÁNGELES;BERNARDA JEANNETTE LÓPEZ RIQUELME;ESCUELAESPECIALESPERANZAF-905@GMAIL.COM;43-2320631;BLOPEZ@EDUCACIONLOSANGELES.CL;;ü;;;;ü;;ü;
4260;CENTRO EDUC. Y CAPAC. LABORAL CECAP;Particular Subvencionado;AVDA. ALEMANIA 353;8;LOS ÁNGELES;VERÓNICA PATRICIA BENAVENTE JARA;VEROBENAVENTEJARA@GMAIL.COM;43-2318336;CECAP.EDUCA@GMAIL.COM;;ü;;;;;;;
4381;CENTRO DE LENGUAJE Y APRENDIZAJE;Particular Subvencionado;CARRERA 445;8;SANTA BÁRBARA;MARIAM KARINA MERA GARCIAS;MARITAMERA2015@GMAIL.COM;43-2581649;MUTILLITA@GMAIL.COM;;ü;;;;;;;
4543;ESCUELA ESPECIAL CHILE ESPAÑA;Municipal Daem;PEDRO DE VALDIVIA 651;8;CONCEPCIÓN;CECILIA FLORENCIA DEL CARMEN FIGUEROA BELLO;CECILIA.FIGUEROA@EDUCACIONPUBLICA.CL;41-2331204;CHILESPANA@DAEMCONCEPCION.CL;;ü;;;;;;;
4546;CENTRO INTEGRADO DE EDUCACIÓN ESPECIAL;Municipal Daem;MANUEL BULNES 1655 CONCEPCIÓN S/N;8;CONCEPCIÓN;INGRID SOLEDAD HIDALGO ALARCÓN;INGRID.HIDALGO@EDUCACIONPUBLICA.CL;41-2234031;CENTROINTEGRADO@DAEMCONCEPCION.CL;;ü;;;;;;;
4550;ESCUELA DIFERENCIAL PIERRE MENDES FRANCE;Municipal Daem;PASAJE LOS ESCOLAPIOS VILLA SAN PEDRO 1751;8;SAN PEDRO DE LA PAZ;CAROLINA DE LAS MERCEDES ROCA SÁNCHEZ;CROCAS@DAEMSPP.CL;41-2505780;PIERREMENDES@GMAIL.COM;;ü;;;;;;;
4638;UNIDAD DE INTEGRACIÓN DEL LIMITADO VISUAL;Particular Subvencionado;LAS HERAS 706;8;CONCEPCIÓN;PATRICIO SAMUEL PARADA CEBALLOS;PATRICIO.PARADA@COALIVI.CL;41-2125311;PATRICIO.PARADA@COALIVI.CL;;;ü;;;ü;;ü;
4751;CENTRO LABORAL POLIVALENTE ALONKURA;Municipal Daem;HONDURAS N° 900 POBLACIÓN LEONOR MASCAYANO 900;8;TALCAHUANO;TATIANA DEL PILAR SOBRADO PAVEZ;TATIANASOBRADO@HOTMAIL.COM;41-2590963;CENTRO.ALONKURA@DAEMTALCAHUANO.CL;;ü;;;;;;;
4768;CENTRO INTEGRAL LOS AROMOS;Particular Subvencionado;O HIGGINS S/N POB. SANTA LEONOR S/N;8;HUALPÉN;SANDRA ROSA DEL CARMEN MONTOYA VERGARA;SANDRA.MONTOYA@COANIL.CL;41-2415456;UELOSAROMOS@COANIL.CL;;ü;;;;;;;
4803;ESCUELA DIFERENCIAL MARTA STOWHAS KARGUS;Municipal Daem;FREIRE 260 260;8;PENCO;MÓNICA ANGELINA ARRAU GAMONAL;ARRAUMONI@GMAIL.COM;41-2183847;EMSTO579@GMAIL.COM;;ü;;;;;;;
4827;ESCUELA ESPECIAL TOMÉ;Municipal Daem;NOGUEIRA 989;8;TOMÉ;SERGIO HUMBERTO ESCOBAR TOLOSA;SERGIO_ESCOBAR_TOLOSA@HOTMAIL.COM;41-2650805;ESCUELA.ESPECIAL.TOME@GMAIL.COM;;ü;;;;;;;
4950;ESCUELA ESPECIAL LUIS COUSINO SQUELLA;Municipal Daem;AVDA.  LOS TILOS S/N S/N;8;LOTA;ANA ELIZABETH ESCOBAR VARGAS;ANA.ESCOBAR@EDUCACIONLOTA.CL;41-2347576;LCOUSQUE@GMAIL.COM;;ü;;;;;;;
4979;ESCUELA DIFERENCIAL MARÍA ESTER BREVE GONZÁLEZ;Municipal Daem;J ANTONIO RIOS  POB. CAMILO OLAVARRIA 1388;8;CORONEL;EDMUNDO ALONSO ESPEJO SEPÚLVEDA;ESPEJO.EDMUNDO@GMAIL.COM;41-2717873;ESC.MARIAESTERBREVE@DEMCORONEL.CL;;ü;;;;;;;
5022;ESCUELA ESPECIAL JUAN SANDOVAL CARRASCO;Municipal Daem;SAAVEDRA 649 S/N;8;LEBU;MARCELA ALEJANDRA MARILAO CASANOVA;MARTINTIAS@HOTMAIL.COM;41-2511260;ESC_JSCARRASCO@HOTMAIL.COM;;ü;;;;;;;
5094;ESCUELA SANTA TERESA DE LOS ANDES;Municipal Daem;PASAJE 4 POBLACION ELEUTERIO RAMIREZ S/N;8;CURANILAHUE;ARIEL DEL CARMEN PINEDA LUNA;ESCUELA.TERESADELOSANDES@DEMCURANILAHUE.CL;41-2690361;ESTARIELP@GMAIL.COM;;ü;;;;;;;
5230;ESCUELA ESPECIAL ESPANA;Municipal Daem;CAUPOLICAN 901 901;9;ANGOL;MANUEL EDUARDO CIFUENTES MARDONES;MANCIFUENTES@GMAIL.COM;45-711822;ESCUELAESPA@EDUCANGOL.CL;;ü;;;;;;;
5338;ESC. BASICA JUSTO SCHWEITZER M.;Municipal Daem;CAMINO INTERNACIONAL KM.18 S/N;9;LONQUIMAY;JOSÉ LUIS VILLARROEL CARRASCO;JLUV58@HOTMAIL.COM;45-2411020;EELOLEN@GMAIL.COM;;ü;;;;;;;
5350;ESCUELA ESPECIAL LOS VOLCANES;Municipal Daem;IQUIQUE 225;9;CURACAUTÍN;MARÍA ELIZABETH REYES MOTRAN;ESPECIAL@EDUCACIONCURACAUTIN.CL;45-2882361;ESPECIAL@EDUCACIONCURACAUTIN.CL;;ü;;;;;;;
5401;ESCUELA ESPECIAL CONFEDERACION SUIZA;Municipal Daem;AVDA. O`HIGGINS Nº 0385 385;9;VICTORIA;KARLA ELENA PARRA SAAVEDRA;KEPS1@HOTMAIL.COM;45-2598537;PAULAGUTIERREZJIMENEZ799@GMAIL.COM;;ü;;;;;;;
